,subject_id,session_id,sociability,spikes_AA_2-during_imputed,lfp_MeA_30-80Hz_2-during_imputed,coherence_MePV-MeD_30-80Hz_3-after_imputed,lfp_CeA_30-80Hz_4-change-during_imputed,lfp_STIA_12-30Hz_4-change-during_imputed,spikes_AA_3-after_imputed,coherence_STIA-CeA_12-30Hz_4-change-during_imputed,coherence_CeA-MeD_30-80Hz_5-change-after_imputed,coherence_CeA-AA_30-80Hz_5-change-after_imputed,coherence_CeA-MeD_30-80Hz_1-before_imputed,spikes_AA_2-during_scaled,lfp_MeA_30-80Hz_2-during_scaled,coherence_MePV-MeD_30-80Hz_3-after_scaled,lfp_CeA_30-80Hz_4-change-during_scaled,lfp_STIA_12-30Hz_4-change-during_scaled,spikes_AA_3-after_scaled,coherence_STIA-CeA_12-30Hz_4-change-during_scaled,coherence_CeA-MeD_30-80Hz_5-change-after_scaled,coherence_CeA-AA_30-80Hz_5-change-after_scaled,coherence_CeA-MeD_30-80Hz_1-before_scaled,embed_supervised1,embed_supervised2,embed1,embed2,embed_scaled_supervised1,embed_scaled_supervised2,embed_scaled1,embed_scaled2,embed_pca1,embed_pca2,day
0,01_04,01_04_01,affiliative,2.9824393696194846,7.766982072516924,0.24246835815512685,2.4513999999999996,1.7361999999999984,10.770357382858759,-0.08925285763835156,-0.017793895379211406,-0.03648354814183182,0.31271427156096954,-1.5294333689501314,-0.24484562936387574,0.3450712059663045,2.988060634679508,1.7619795332604629,-1.2044323603925675,-0.6860396361813389,-0.3976558841842213,-0.4128864055726348,0.7670188525797083,-3.2759352,-0.15718152,-1.7105905,2.324277,20.081245,2.6059756,1.2984494,8.070359,-13.969240080593067,-0.5531953494751286,1
1,01_04,01_04_02,affiliative,-1.17823436682116,17.94008088466888,0.26116868091923184,0.7296999999999993,2.0989000000000004,10.891283339484136,-0.18960249708394739,-0.02059607589161047,-0.05436380003880306,0.3818666968091017,-2.050600760521358,3.0904420855117865,0.5114196115541966,-0.2525349203278122,2.3339536547776065,-1.1850211564454796,-3.5729236869698244,-0.5232887954273138,-0.8034816872771365,1.2338618970656396,-3.7150252,0.04001063,-1.5964615,2.3776453,21.541727,2.1004977,1.1568285,7.9453607,-19.1586055124757,5.467556835849979,2
2,02_01,02_01_01,affiliative,23.503370969114442,3.5951,0.1744080345591259,0.9003177267691724,-0.08920822135674111,21.997531290828007,-0.036844976283470984,-0.0029941928981359472,0.0012325099240882431,0.10596959873553558,1.0410254249349002,-1.6126124505958357,-0.2603582540921414,0.06860293584552558,-1.1166702153490966,0.5977693220151179,0.8216436764332943,0.265873713570806,0.41102336985602217,-0.6286995498732905,-0.49667412,6.7831216,5.4087276,-0.56323117,19.77298,5.2284503,6.792031,16.87,9.73701461813919,-2.843433450243403,1
3,02_01,02_01_02,aversive,26.751503100151112,1.6739,0.1629696317284562,0.9143926237073463,-0.36590559998379446,23.453266874252613,-0.02568552674331276,-0.0006764792950979988,0.008584797715511114,0.06957565681675743,1.4478875481013367,-2.2424849089430348,-0.3621083734540521,0.09509480345023744,-1.5530190989065944,0.8314460370187332,1.1426815702518116,0.3697860440180984,0.5716345814659569,-0.8743924317243934,13.18029,22.57598,5.043502,-1.1668074,-15.655477,9.434491,6.23086,17.447855,13.542475116708067,-3.954010759577916,2
4,02_01,02_01_03,affiliative,15.061135395973437,8.5885,0.20413764141664534,0.863735595616208,0.629957243163521,18.213922055832967,-0.06584955432522936,-0.009018173277799552,-0.01787685602307551,0.20056126518214556,-0.016451842303951962,0.02449203280563345,0.004100962034116429,-0.0002522024520821034,0.01744623018286724,-0.009580932356660602,-0.01276743068381331,-0.004205315606536541,-0.006421989322121177,0.009881980542751067,-2.5435023,3.9302325,1.8272253,-0.84452814,20.208054,4.127724,3.4015243,12.172575,-0.15377574910724048,0.04307328327259073,3+
5,03_02,03_02_01,aversive,24.99401483624026,9.2502,0.17259228593823758,-0.49980000000000047,-0.23175984836849572,24.34549048825921,-0.04816145814894601,-0.01588001094633766,-0.002564311650273602,0.10286970051671121,1.2277439770740561,0.24143280195426,-0.2765102153092473,-2.5667082576580666,-1.341472646093203,0.9746670213401029,0.4960882365835222,-0.31184882356809174,0.3280815522035088,-0.6496267395832649,12.846775,22.24757,5.1848497,-1.6183618,-16.724848,9.155386,6.5485125,17.062243,11.215130941440231,0.540043755714046,1
6,03_02,03_02_02,affiliative,13.998707622145858,7.154,0.20677800659722576,1.3234,0.7361621705465617,17.219610352064,-0.06429509783552483,-0.05000125057107302,-0.018022685162441748,0.17440827276056467,-0.14953190257616739,-0.4458140475082624,0.02758828594290034,0.8649312938836343,0.18493029425980811,-0.1691892398487293,0.03195157052600751,-1.8416398738986066,-0.009607636487479575,-0.16667498851073995,-2.3330286,3.3595865,1.4904686,0.0520218,19.813562,4.1228848,2.833711,10.66191,-1.30774440658256,-0.8116498405651897,2
7,03_02,03_02_03,affiliative,12.600871645777525,7.4229,0.21145989230634246,1.3843000000000005,0.822242419797981,16.4137199230409,-0.06774633525071058,-0.12130884735301167,-0.02056391890639593,0.27541972522919844,-0.32462530710529114,-0.3576541973887736,0.06923592126346519,0.9795576918042638,0.32067795057510173,-0.29855190038351936,-0.06733450867097672,-5.03864339948294,-0.0651210551918831,0.5152460551720581,-2.376847,2.9879599,0.9095525,0.3656123,19.904383,3.8071222,2.379583,9.847697,-2.9409311689320536,-0.698082589098401,3+
8,03_02,03_02_04,aversive,12.52516956418237,8.0481,0.21191258967427984,1.3784999999999998,0.9052138391094644,16.610624654532614,-0.06934887132277867,0.0592764926993727,-0.02139636902934732,0.08274828037999259,-0.3341077753065135,-0.152680086958486,0.07326288306087148,0.9686408920022979,0.45152301446182924,-0.26694447706601715,-0.11343667558284434,3.05771652387588,-0.08330598301911485,-0.7854649983616144,14.123716,17.957855,1.0263699,0.19722532,-14.442834,8.228304,5.741022,15.2689495,-3.0117293326466563,-0.2537562386133976,3+
9,04_03,04_03_01,affiliative,12.60820895522388,6.9382,0.19756039963158017,3.2104000000000004,2.5268999999999995,25.0,-0.06034447574254792,0.014921407364115794,0.019224053240815803,0.025653820506312913,-0.3237062332563095,-0.5165648680950443,-0.05440678127669889,4.416655643246946,3.008905196021984,1.0797298049827269,0.14560407564627575,1.0691014170163635,0.8040498199636031,-1.1709055866716884,-2.4296238,3.6655087,5.719174,-1.4854711,19.9335,2.7430842,3.613817,11.00921,1.871342974514244,6.0832279541777785,1
